RUN	ru.domrf.dominvest.scenario.Invest	invest	1716292416169	1	3.10.2
GROUP	TC:gRPC	1716292424761	1716292424783	20	OK
GROUP	TC:CreateOperation	1716292424783	1716292424842	0	OK
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292424843	1716292424866	OK	 
GROUP	TC:gRPC	1716292424843	1716292424867	23	OK
GROUP	TC:CreateOperation	1716292424867	1716292424920	0	OK
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292424920	1716292424944	OK	 
GROUP	TC:gRPC	1716292424920	1716292424945	24	OK
GROUP	TC:CreateOperation	1716292424945	1716292424994	0	OK
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292424995	1716292425049	OK	 
GROUP	TC:gRPC	1716292424995	1716292425050	54	OK
GROUP	TC:CreateOperation	1716292425050	1716292425654	0	OK
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292425655	1716292425678	OK	 
GROUP	TC:gRPC	1716292425655	1716292425679	23	OK
GROUP	TC:CreateOperation	1716292425679	1716292425728	0	OK
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292425729	1716292425748	OK	 
GROUP	TC:gRPC	1716292425729	1716292425750	19	OK
GROUP	TC:CreateOperation	1716292425750	1716292425801	0	OK
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292425802	1716292425843	OK	 
GROUP	TC:gRPC	1716292425802	1716292425844	41	OK
GROUP	TC:CreateOperation	1716292425844	1716292425909	0	OK
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292425910	1716292425933	OK	 
GROUP	TC:gRPC	1716292425910	1716292425934	23	OK
GROUP	TC:CreateOperation	1716292425934	1716292425986	0	OK
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292425987	1716292426016	OK	 
GROUP	TC:gRPC	1716292425987	1716292426017	29	OK
GROUP	TC:CreateOperation	1716292426018	1716292426088	0	OK
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292426089	1716292426107	OK	 
GROUP	TC:gRPC	1716292426088	1716292426108	18	OK
GROUP	TC:CreateOperation	1716292426108	1716292426160	0	OK
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292426161	1716292426185	OK	 
GROUP	TC:gRPC	1716292426161	1716292426186	24	OK
GROUP	TC:CreateOperation	1716292426186	1716292426239	0	OK
REQUEST	TC:gRPC	POST /auth/realms/internal-bank-idm/protocol/openid-connect/token	1716292426240	1716292426260	OK	 
